Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code
HA0 1AA,No,51.54007,-0.30348,517753,183716,TQ177837,"Alperton","Brent, unparished area",1980-01-01,2007-07-01,33,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1AB,Yes,51.539777,-0.303116,517779,183684,TQ177836,"Alperton","Brent, unparished area",1990-02-01,,33,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1AD,Yes,51.540411,-0.303425,517756,183754,TQ177837,"Alperton","Brent, unparished area",1980-01-01,,33,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1AE,Yes,51.540881,-0.305469,517613,183803,TQ176838,"Alperton","Brent, unparished area",1980-01-01,,32,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1AF,Yes,51.542582,-0.30617,517560,183991,TQ175839,"Alperton","Brent, unparished area",1980-01-01,,34,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1AG,No,51.540857,-0.305658,517600,183800,TQ175837,"Alperton","Brent, unparished area",1995-07-01,1996-12-01,32,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000475
HA0 1AH,Yes,51.542914,-0.305495,517606,184029,TQ176840,"Alperton","Brent, unparished area",1980-01-01,,37,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1AJ,Yes,51.541706,-0.30331,517761,183898,TQ177838,"Alperton","Brent, unparished area",1980-01-01,,37,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1AN,Yes,51.540269,-0.302195,517842,183740,TQ178837,"Alperton","Brent, unparished area",1986-07-01,,35,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1AP,Yes,51.543084,-0.304825,517652,184049,TQ176840,"Alperton","Brent, unparished area",1985-10-01,,40,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1AQ,Yes,51.541341,-0.30365,517738,183857,TQ177838,"Alperton","Brent, unparished area",1980-01-01,,35,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1AR,Yes,51.545148,-0.306392,517538,184276,TQ175842,"Alperton","Brent, unparished area",1980-01-01,,37,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1AS,Yes,51.546668,-0.308297,517402,184442,TQ174844,"Alperton","Brent, unparished area",1980-01-01,,41,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1AT,Yes,51.54761,-0.310599,517240,184543,TQ172845,"Alperton","Brent, unparished area",1980-01-01,,49,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1AU,Yes,51.548318,-0.311683,517163,184620,TQ171846,"Alperton","Brent, unparished area",1980-01-01,,52,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1AW,No,51.541103,-0.301495,517888,183834,TQ178838,"Alperton","Brent, unparished area",1980-01-01,2003-07-01,37,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1BA,Yes,51.538576,-0.304646,517676,183548,TQ176835,"Alperton","Brent, unparished area",2003-06-01,,31,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000475
HA0 1BB,No,51.551185,-0.307235,517464,184946,TQ174849,"Sudbury","Brent, unparished area",1996-12-01,2001-08-01,50,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01000612
HA0 1BD,No,51.539937,-0.30425,517700,183700,TQ176836,"Alperton","Brent, unparished area",1980-01-01,1991-12-01,31,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01000475
