Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code
NW10 4UY,Yes,51.532215,-0.244938,521834,182938,TQ218829,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,37,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 5AZ,Yes,51.530909,-0.231129,522795,182816,TQ227828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",2010-04-01,,46,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 5BD,Yes,51.530909,-0.231129,522795,182816,TQ227828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",2010-04-01,,46,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 5BQ,Yes,51.530701,-0.230459,522842,182794,TQ228827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",2010-02-01,,45,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 5BR,Yes,51.530701,-0.230459,522842,182794,TQ228827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",2010-02-01,,45,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 5LX,No,51.531749,-0.236791,522400,182900,TQ223828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1994-05-01,41,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 5LY,No,51.531727,-0.23535,522500,182900,TQ225828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1995-07-01,43,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 5LZ,No,51.531727,-0.23535,522500,182900,TQ225828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1994-05-01,1995-12-01,43,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 5NE,No,51.531749,-0.236791,522400,182900,TQ223828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1992-01-01,1995-07-01,41,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 5NG,Yes,51.532124,-0.236632,522410,182942,TQ224829,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,42,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 5NH,Yes,51.532344,-0.235067,522518,182969,TQ225829,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,44,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 5NJ,Yes,51.532319,-0.233861,522602,182968,TQ226829,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,46,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 5NW,Yes,51.532344,-0.235067,522518,182969,TQ225829,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,44,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 5NX,Yes,51.529905,-0.228976,522947,182708,TQ229827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,42,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 5PH,No,51.530764,-0.231062,522800,182800,TQ228827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,1995-07-01,45,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001877
NW10 6AA,Yes,51.531554,-0.236972,522388,182878,TQ223828,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,40,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
NW10 6AB,Yes,51.530818,-0.236452,522426,182797,TQ224827,"College Park and Old Oak","Hammersmith and Fulham, unparished area",1980-01-01,,38,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001877
