Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code
SW10 0AB,Yes,51.478206,-0.183053,526275,177037,TQ262770,"Chelsea Riverside","Kensington and Chelsea, unparished area",2010-08-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01002841
SW10 0AD,Yes,51.485945,-0.18047,526433,177902,TQ264779,"Stanley","Kensington and Chelsea, unparished area",1980-01-01,,11,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01002912
SW10 0AE,Yes,51.485776,-0.180621,526423,177883,TQ264778,"Stanley","Kensington and Chelsea, unparished area",1992-08-01,,12,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01002912
SW10 0AF,Yes,51.48148,-0.183053,526266,177401,TQ262774,"Stanley","Kensington and Chelsea, unparished area",2014-05-01,,9,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01002913
SW10 0AG,Yes,51.485807,-0.180317,526444,177887,TQ264778,"Stanley","Kensington and Chelsea, unparished area",1980-01-01,,12,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01002912
SW10 0AH,Yes,51.485555,-0.180284,526447,177859,TQ264778,"Stanley","Kensington and Chelsea, unparished area",1980-01-01,,12,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01002912
SW10 0AJ,Yes,51.485898,-0.179809,526479,177898,TQ264778,"Stanley","Kensington and Chelsea, unparished area",1980-01-01,,12,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01002912
SW10 0AL,Yes,51.485229,-0.180057,526464,177823,TQ264778,"Stanley","Kensington and Chelsea, unparished area",1995-07-01,,12,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01002912
SW10 0AN,Yes,51.485023,-0.179614,526495,177801,TQ264778,"Stanley","Kensington and Chelsea, unparished area",1980-01-01,,12,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01002912
SW10 0AP,Yes,51.485023,-0.179614,526495,177801,TQ264778,"Stanley","Kensington and Chelsea, unparished area",1980-01-01,,12,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01002912
SW10 0AQ,Yes,51.485641,-0.180035,526464,177869,TQ264778,"Stanley","Kensington and Chelsea, unparished area",1980-01-01,,12,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01002912
SW10 0AR,Yes,51.485023,-0.179614,526495,177801,TQ264778,"Stanley","Kensington and Chelsea, unparished area",1980-01-01,,12,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01002912
