Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code
SW3 1AA,No,51.501272,-0.160581,527771,179641,TQ277796,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,2018-06-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014084,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.0108718,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+GQ
SW3 1AB,Yes,51.496376,-0.16487,527487,179089,TQ274790,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",2012-07-01,,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012B","Urban major conurbation",London,13,1,E01002819,,E02000588,"Kensington and Chelsea 012",E43000210,E00014098,E14000768,21458,1,0,2019-11-23,"Knightsbridge",0.62508,SW,SW3,"Metropolitan Police","Thames Water",9C3XFRWP+H3
SW3 1AD,Yes,51.496377,-0.164845,527489,179089,TQ274790,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",2018-11-01,,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012B","Urban major conurbation",London,8,1,E01002819,,E02000588,"Kensington and Chelsea 012",E43000210,E00014098,E14000768,21458,5,0,2019-11-23,"Knightsbridge",0.624178,SW,SW3,"Metropolitan Police","",9C3XFRWP+H3
SW3 1AE,No,51.496377,-0.164845,527489,179089,TQ274790,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",2019-06-01,2019-08-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012B","Urban major conurbation",London,8,1,E01002819,,E02000588,"Kensington and Chelsea 012",E43000210,E00014098,E14000768,21458,5,0,2019-11-23,"Knightsbridge",0.624178,SW,SW3,"Metropolitan Police","",9C3XFRWP+H3
SW3 1AG,No,51.500943,-0.163058,527600,179600,TQ276796,"Greater London","Westminster","Knightsbridge and Belgravia",E09000033,E05000637,England,E11000009,"Cities of London and Westminster",1980-01-01,1984-12-01,"Westminster, unparished area","",,,"Greater London","City of Westminster","Westminster 019C","Urban major conurbation",London,23,1,E01004689,,E02000978,"Westminster 019",E43000236,E00175206,E14000639,14816,8,1,2019-11-23,"Knightsbridge",0.171774,SW,SW3,"Metropolitan Police","",9C3XGR2P+9Q
SW3 1AH,No,51.501065,-0.161123,527734,179617,TQ277796,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,2007-03-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,1,2019-11-23,"Knightsbridge",0.0452065,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+CH
SW3 1AJ,Yes,51.500832,-0.161036,527741,179591,TQ277795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",6,6,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.0635336,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+8H
SW3 1AL,No,51.500686,-0.161052,527740,179575,TQ277795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,2014-03-01,"Kensington and Chelsea, unparished area","",,,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.0790135,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+7H
SW3 1AN,Yes,51.500665,-0.161398,527716,179572,TQ277795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",22,13,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,21,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.0919315,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+7C
SW3 1AP,Yes,51.500108,-0.160888,527753,179511,TQ277795,"Greater London","Kensington and Chelsea","Brompton & Hans Town",E09000020,E05009389,England,E11000009,"Kensington",1980-01-01,,"Kensington and Chelsea, unparished area","",28,16,"Greater London","Kensington and Chelsea","Kensington and Chelsea 012A","Urban major conurbation",London,22,1,E01002818,,E02000588,"Kensington and Chelsea 012",E43000210,E00014083,E14000768,18433,1,0,2019-11-23,"Knightsbridge",0.139415,SW,SW3,"Metropolitan Police","Thames Water",9C3XGR2Q+2J
